article,broken_url,alternative_url,status_code,verified
pass-sensibilidad-ansiedad,https://doi.org/10.1007/s00737-015-0498-9,https://link.springer.com/10.1007/s00737-015-0498-9,404,NO
test-beck-ansiedad-bai,https://doi.org/10.1016/j.acp.2020.01.001,https://www.sciencedirect.com/science/article/pii/S2451904920300013,404,NO
tests-psicologicos-digitales,https://doi.org/10.1016/j.rpe.2019.02.004,https://www.sciencedirect.com/science/article/pii/S0039625719300284,403,NO
faces-iv-escala-adaptabilidad-familiar,https://doi.org/10.1016/j.salm.2015.03.002,https://www.sciencedirect.com/science/article/pii/S221450981500002X,403,NO
mdq-trastorno-bipolar-tamizaje,https://doi.org/10.1016/S0301-0081(05)70012-3,https://doi.org/10.1016/S0301-0081(05,404,NO
ecr-cuestionario-apego-adultos,https://doi.org/10.4067/s0718-50652020000300080,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-50652020000300080,403,NO
core-om-medida-resultados-clinicos,https://doi.org/10.1016/j.revaluar.2024.05.003,https://doi.org/10.1016/j.revaluar.2024.05.003,404,NO
oq-45-resultados-terapia,https://doi.org/10.1080/08039481.2012.679150,https://www.tandfonline.com/doi/abs/10.1080/08039481.2012.679150,403,NO
scared-ansiedad-infantil,https://doi.org/10.5093/rpccna2011a6,NOT_FOUND,,NO
audit-test-alcoholismo,https://adicciones.es/index.php/adicciones/article/download/613/602/1170,https://www.adicciones.es/index.php/adicciones/article/view/613,200,YES
que-es-el-phq-9,https://investigacion.upb.edu.co/es/publications/construct-validity-of-the-phq-9-in-university-students-in-colombi/,https://www.medicinaclinicaysocial.org/index.php/MCS/en/article/view/521,TIMEOUT,NO
ley-1581-proteccion-datos-psicologia,https://www.sic.gov.co/resoluciones/2797-2013,https://www.sic.gov.co/resoluciones/2797-2013,ERROR,NO
assist-evaluacion-sustancias-oms,https://adicciones.es/index.php/adicciones/article/download/1496/1232/5103,https://adicciones.es/index.php/adicciones/article/view/1496,200,YES
ley-1090-psicologia-colombia,https://www.colpsic.org.co/normatividad/,https://www.colpsic.org.co/normatividad/,200,YES
asrs-tdah-adultos,https://www.adicciones.es/index.php/adicciones/article/download/298/298/577,https://www.adicciones.es/index.php/adicciones/article/view/298,200,YES
adhd-rs-5-tdah-ninos,https://www.sciencedirect.com/science/article/pii/S0213485317302244,https://www.sciencedirect.com/science/article/pii/S0213485317302244,403,NO
raads-r-autismo-adultos,https://novopsych.com/es-us/evaluaciones/diagnostico/escala-diagnostica-del-espectro-autista-de-ritvo-revisada-raads-r/,https://pubmed.ncbi.nlm.nih.gov/21086033/,200,YES
consentimiento-informado-psicologia,https://www.colpsic.org.co/wp-content/uploads/2020/12/Doctrina-No.-3-CONSENTIMIENTO-INFORMADO-dic-5-2018.pdf,https://eticapsicologica.org/index.php/documentos/lineamientos/item/44-doctrina-no-03-consentimiento-informado-en-el-ejercicio-de-la-psicologia-en-colombia,200,YES
audit-c-tamizaje-alcohol-breve,https://www.adicciones.es/index.php/adicciones/article/viewFile/775/730,https://www.adicciones.es/index.php/adicciones/article/viewFile/775/730,200,YES
test-reloj-dibujo-cognicion,https://revecuatneurol.com/,https://revecuatneurol.com/,200,YES
ftnd-test-nicotina-dependencia,https://revistasdigitales.uniboyaca.edu.co/index.php/rs/article/download/185/200/527,https://revistasdigitales.uniboyaca.edu.co/index.php/rs/article/download/185/200/527,403,NO
